KEYS,en,eo,pt
SCH_TAB,Schematic,Skemaco,Esquema
LAY_TAB,Layer,Tavolo,Camada
SEL_TAB,Selection,Selekto,Selecionado
ANA_TAB,Analyzer,Skopo,Analizador
SPT_TAB,Script,Skripto,Programa
GIZ_TAB,Gizmos,Aparatoj,Dispositivos
TOY_TAB,Toys,Ludiloj,Brinquedos
PLACE,Place,Allokigi,Colocar
POKE,Poke,Tuŝi,Tocar
SHOW_NOTES,Show Notes,Vidigi Komento,Mostrar Notas
CONTROLS,Controls,Reguliloj,Controlos
INDICATORS,Indicators,Indikiloj,Indicadors
Go To Center,Go To Center,Alcentrigi,Centrar
LAYER_ZERO,Base Layer,Baza_Tavolo,Camada Base
ARCHITECTURE,Architecture:,Arkitekturo:,Arquitectura:
