KEYS,en,eo,pt
TITLE,Title,Titolo,Titulo
THEME,Theme,Haǔto,Estilo
ADD_LAY,+Layer,+Tavolo,+Camada
ISOLATE,Isolate,Izoli,Isolar
DUPLICATE,Duplicate,Duobligo,Duplicar
DELETE,Delete,Forigi,Apagar
SAVE,Save,Surdiskigi,Guardar
CELL_SIZE,Cell Size,Interĉela,Espaçamento
ORIGIN_THICK,Origin Thickness,Defonta Dikeco,Espessura da Origem
GRID_THICK,Grid Thickness,Krado Dikeco,Espessura da Grelha
BG_COLOR,Back Color,Ekrana Koloro,Core de Fundo
ORIGIN_COLOR,Origin Color,Defonta Koloro,Core da Origem
GRID_COLOR,Grid Color,Krado Koloro,Core da Grelha
