KEYS,en,eo,pt
CHECKS,Logic Gates,Logika Elemento,Guardas
INPUT,Inputs,Enigaj,Entradas
OUTPUT,Outputs,Elradika,Saidas
MEMORY,Memories,Memoroj,Memorias
MISC,Misc.,Čiuspeca,Misc.
PLEXER,Plexer,Multipleksoro,Plexer
SHIFTER,Shifter,Forŝovigo,Deslocador
COMBIN,Combinational,Kombina,Combinatório
SEQUEN,Sequencial,Sekvenca,Sequencial
ARITHM,Arithmetic,Aritmetika,Aritmético
AUTOMATA,Automata,Aŭtomatoj,Automatos
COND_CHECK,Condition,Kondiĉo,Condição
PUSH_BUTTON,Push Button,Klavo,Botão de Pressão
BISTABLE,Bistable,Dustabilo,Bi-estável
MICROCONTROLLER,MCU,Micro-Regilo,Micro-Controlador
MONOSTABLE,Monostable,Unstabilo,Mono-estável
SWITCH_RELAY,Switch Relay,Relajso,Comutador
BIT_COUNTER,Bit Counter,Bito Komptilo,Contador de Bits
BIT_SELECTOR,Bit Selector,Bito Selekto,Selector de Bits
COMPARATOR,Comparator,Komparilo,Comparador
SEQUENCE_GENERATOR,Sequencer,Sekvencilo,Sequenciador
